ra,dec,u,g,r,i,z,redshift,class
183.5313257,0.08969303,19.47406,17.0424,15.94699,15.503420000000002,15.22531,-8.96e-06,STAR
183.59837050000002,0.135285032,18.6628,17.214489999999998,16.676370000000002,16.48922,16.3915,-5.489999999999999e-05,STAR
183.6802074,0.126185092,19.38298,18.191689999999998,17.47428,17.087320000000002,16.80125,0.1231112,GALAXY
183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.904379999999998,-0.000110616,STAR
183.8832883,0.10255675199999999,17.55025,16.26342,16.43869,16.554920000000003,16.61326,0.000590357,STAR
183.8471736,0.17369416399999998,19.43133,18.46779,18.16451,18.01475,18.04155,0.000314603,STAR
183.864379,0.019200711000000002,19.38322,17.88995,17.10537,16.66393,16.36955,0.1002423,GALAXY
183.9000814,0.18747329699999998,18.97993,17.84496,17.38022,17.20673,17.070710000000002,0.000314848,STAR
183.9245885,0.09724578199999999,17.90616,16.97172,16.67541,16.537760000000002,16.47596,8.909999999999998e-05,STAR
183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,0.04050813,GALAXY
183.9791945,0.135997822,19.29772,17.80227,17.182660000000002,16.92335,16.79928,-3.46e-05,STAR
184.0853311,0.11211002199999999,18.833070000000003,17.51785,16.942729999999997,16.71418,16.60521,0.000622774,STAR
184.10209790000002,0.191510916,19.5625,18.191129999999998,17.65759,17.47573,17.39203,5.47e-05,STAR
184.1605102,0.07564531299999999,19.5799,17.72815,16.9874,16.68076,16.504260000000002,8.3e-06,STAR
184.1895738,0.099482468,19.25667,17.54869,16.63578,16.14922,15.76639,0.07208736,GALAXY
184.2217972,0.046955181,19.05958,18.09512,17.92766,17.8927,17.90772,0.000209974,STAR
184.3888696,0.068287428,19.04397,17.51106,16.87335,16.61114,16.48303,0.000240098,STAR
184.3809191,0.17432277,17.81661,16.86976,16.53884,16.19576,16.086679999999998,0.07277206,GALAXY
184.4668531,0.11196532099999999,19.3932,18.48274,18.16551,18.05122,18.04328,-0.00027021799999999997,STAR
184.5694109,0.137091485,17.51339,16.41793,16.06695,15.937510000000001,15.894779999999999,-3.5499999999999996e-05,STAR
184.6587955,0.159935507,18.63032,17.234370000000002,16.72749,16.51772,16.44039,4.31e-06,STAR
184.5168342,0.145549586,19.216839999999998,18.29956,18.19589,18.147579999999998,18.266579999999998,8.8e-05,STAR
184.61856310000002,0.080576269,19.4127,17.47109,16.4987,16.06502,15.668479999999999,0.1167829,GALAXY
184.6274079,0.013234086,18.485429999999997,17.339000000000002,16.90179,16.66712,16.48684,0.02129653,GALAXY
184.6767619,0.059441869,17.72835,16.19783,15.66073,15.51586,15.43615,0.000175365,STAR
184.7119696,0.066571901,17.70824,16.610689999999998,16.19772,16.0625,16.00229,0.00017238,STAR
184.7702039,0.19801005,18.18974,17.237379999999998,16.89113,16.757270000000002,16.710520000000002,0.0005198080000000001,STAR
184.7826977,0.140979369,19.0764,17.78953,16.98818,16.60519,16.278589999999998,0.11694460000000001,GALAXY
184.7651553,0.080985794,19.18013,18.07133,17.71771,17.48797,17.55667,0.06807999,GALAXY
184.8635981,0.14346936300000002,18.388479999999998,17.00188,16.37884,16.16978,16.0124,0.000135947,STAR
184.86419030000002,0.143441662,17.934070000000002,16.64581,16.22206,16.07029,16.06046,0.000158087,STAR
184.8755286,0.033060812,19.03059,18.10673,17.82561,17.71227,17.6878,-0.00016737799999999998,STAR
184.8763144,0.18515137199999998,18.12978,17.174210000000002,16.751079999999998,16.5884,16.48527,0.000692428,STAR
184.9569855,0.156360267,18.15079,16.77761,16.2215,16.02345,15.919570000000002,0.000304361,STAR
184.8321997,0.044306547,19.52092,17.585620000000002,16.4269,15.944729999999998,15.56269,0.1506381,GALAXY
184.97221530000002,0.09775424099999999,18.905920000000002,17.466079999999998,16.85369,16.58687,16.418779999999998,0.00057828,STAR
184.99427509999998,0.109160933,17.7019,16.76073,16.487460000000002,16.381729999999997,16.33654,0.0007047360000000001,STAR
185.00125549999998,0.069723829,18.85351,17.97745,17.6112,17.456789999999998,17.40576,-0.000676195,STAR
185.0650695,0.14244289400000001,18.75478,17.58247,17.080460000000002,16.87063,16.75911,-0.000503256,STAR
185.0859131,0.099953851,18.33616,17.30684,16.929029999999997,16.78272,16.73807,7.609999999999999e-05,STAR
185.02738540000001,0.095346099,19.1713,18.01316,17.42493,17.044929999999997,16.822370000000003,0.1183854,GALAXY
185.03638830000003,0.17667755,19.120829999999998,17.921889999999998,17.18494,16.7895,16.522579999999998,0.1575296,GALAXY
185.2170514,0.15519381599999998,18.897070000000003,18.045189999999998,17.7501,17.6378,17.6124,0.000250291,STAR
185.13672880000001,0.071514063,19.48347,17.515220000000003,16.31651,15.83499,15.4368,0.15851629999999997,GALAXY
185.23060769999998,0.010099581,19.31764,18.38629,18.12009,17.9998,17.93916,0.000576704,STAR
185.3772509,0.200803727,17.964000000000002,16.396320000000003,15.74191,15.4828,15.32453,0.000349798,STAR
159.62496480000001,-0.62071445,19.19383,18.202779999999997,17.90109,17.77634,17.74759,-0.000256492,STAR
159.7978416,-0.5571964660000001,19.19752,18.07471,17.76889,17.6148,17.49577,0.02335118,GALAXY
159.8033022,-0.535038616,19.266270000000002,18.16093,17.59907,17.2172,17.06311,0.1236402,GALAXY
159.84752350000002,-0.5342664,19.38251,17.92302,17.11018,16.664920000000002,16.345579999999998,0.11416760000000002,GALAXY
159.9393455,-0.6091843229999999,19.48702,18.51823,18.18637,18.06704,18.05865,0.000790241,STAR
160.0342636,-0.421625751,19.2634,17.67693,16.82551,16.423070000000003,16.13864,0.13304860000000002,GALAXY
160.0351619,-0.599992669,19.31866,18.274070000000002,17.748839999999998,17.416179999999997,17.24165,0.07470067,GALAXY
160.1442091,-0.489329778,18.73682,17.65075,17.23958,17.07875,17.03255,0.000106767,STAR
